"(blank)","CPU time","Threads Total","Threads Avail","Mops/s","Mops/s/thread","Win1 Pwr (uW)","Win2 Pwr (uW)"
,274.73,1,1,7.82,7.82,101000000,101000000
,61.91,5,5,34.69,6.94,101000000,102000000
,34.71,9,9,61.86,6.87,101000000,102000000
,24.28,13,13,88.46,6.80,102000000,101000000
,18.69,17,17,114.89,6.76,103000000,102000000
,14.79,21,21,145.20,6.91,102000000,102000000
,11.04,25,25,194.57,7.78,136000000,135000000
,9.51,29,29,225.88,7.79,138000000,137000000
,8.37,33,33,256.67,7.78,143000000,142000000
,7.46,37,37,287.80,7.78,147000000,146000000
,7.33,41,41,293.05,7.15,106000000,106000000
,6.83,45,45,314.22,6.98,104000000,103000000
,6.32,49,49,339.91,6.94,102000000,103000000
,5.80,53,53,370.04,6.98,104000000,109000000
,5.42,57,57,396.42,6.95,103000000,107000000
,5.12,61,61,419.05,6.87,104000000,109000000
,5.49,65,65,391.28,6.02,113000000,113000000
,5.16,69,69,416.16,6.03,118000000,118000000
,4.88,73,73,440.09,6.03,129000000,127000000
,4.63,77,77,463.51,6.02,134000000,133000000
,4.42,81,81,486.31,6.00,136000000,138000000
,4.21,85,85,509.99,6.00,140000000,142000000
,4.03,89,89,532.26,5.98,150000000,150000000
,3.86,93,93,556.27,5.98,155000000,156000000
,3.69,97,97,581.32,5.99,160000000,160000000
,4.04,101,101,532.13,5.27,106000000,124000000
,3.88,105,105,553.88,5.28,108000000,122000000
,3.74,109,109,574.50,5.27,124000000,137000000
,3.58,113,113,599.31,5.30,112000000,127000000
,3.48,117,117,617.23,5.28,141000000,145000000
,3.35,121,121,641.47,5.30,111000000,133000000
,4.11,125,125,522.47,4.18,107000000,108000000
,4.01,129,129,534.89,4.15,110000000,111000000
,3.44,133,133,624.09,4.69,126000000,130000000
,3.77,137,137,569.50,4.16,110000000,115000000
,3.69,141,141,581.72,4.13,107000000,119000000
,3.56,145,145,603.17,4.16,110000000,119000000
,3.06,149,149,701.32,4.71,150000000,152000000
,3.41,153,153,630.39,4.12,109000000,127000000
,3.31,157,157,649.70,4.14,128000000,132000000
,3.08,161,161,697.39,4.33,131000000,141000000
,2.79,165,165,770.37,4.67,144000000,171000000
,3.07,169,169,699.98,4.14,147000000,147000000
,3.00,173,173,715.58,4.14,111000000,131000000
,2.60,177,177,827.42,4.67,184000000,193000000
,2.54,181,181,845.37,4.67,152000000,190000000
,2.99,185,185,718.47,3.88,121000000,137000000
,2.93,189,189,732.91,3.88,127000000,144000000
,2.88,193,193,745.12,3.86,130000000,135000000
,2.83,197,197,759.08,3.85,133000000,145000000
,2.79,201,201,770.87,3.84,135000000,154000000
,2.71,205,205,792.37,3.87,130000000,157000000
,2.67,209,209,804.61,3.85,136000000,164000000
,2.62,213,213,819.34,3.85,146000000,174000000
,2.57,217,217,837.12,3.86,142000000,176000000
,2.53,221,221,849.51,3.84,156000000,182000000
,2.47,225,225,869.00,3.86,123000000,179000000
,2.44,229,229,881.36,3.85,131000000,179000000
,2.41,233,233,891.71,3.83,125000000,181000000
,2.37,237,237,904.49,3.82,122000000,179000000
,2.31,241,241,927.81,3.85,122000000,178000000
